音频文件: 20251205 234222-BF444D4E_part_001.m4a
============================================================
📢 说话人区分结果（使用 SenseVoice 识别）:
------------------------------------------------------------
说话人 0: 什么都不做，
说话人 0: 他依然是现在这样的喜欢层级啊。
说话人 0: 嗯，
说话人 0: 不是说你没有骂过小兰，
说话人 0: 他就一定要最喜欢你的。
说话人 1: 对对对，
说话人 1: 因为本来就只是这个室友在，
说话人 1: 就是就是和谐共处即可。
说话人 1: 但是我以前在寝室的时候，
说话人 1: 我就希望我的小宝最喜欢。
说话人 1: 嗯，
说话人 0: 他现在不是你的小宝，
说话人 1: 我跟他吵过架，
说话人 1: 他开他跟那们开玩笑说，
说话人 1: 最喜欢小徐，
说话人 1: 我站在床上，
说话人 1: 然后觉得很伤心，
说话人 1: 我一说也不行，
说话人 1: 只能最喜欢我，
说话人 1: 因为我最喜欢你，
说话人 1: 然后就在在床上哭了。
说话人 0: 嗯，
说话人 0: 吵架听起来他好像没没还嘴没干嘛。
说话人 1: 他一直说他说最喜欢小徐，
说话人 1: 他说每天都跟小鱼一起吃饭，
说话人 1: 还说还说约我总是约不到我。
说话人 0: 嗯，
说话人 0: 然后你就解释是吧，
说话人 1: 也没好好解释，
说话人 1: 不是说就是叫你别在他出去吃饭好，
说话人 1: 而且而且而且我最不高兴，
说话人 1: 因为嗯没事，
说话人 0: 宝宝你刷。
说话人 1: 因为他之前他之前明明说他最喜欢跟我玩了，
说话人 1: 呃，
说话人 1: 以前的时候他说最喜欢跟我，
说话人 1: 然后他说那时候是骗我了，
说话人 0: 还有吗？
说话人 1: 我本他又说这是逗我玩的。
说话人 1: 然后他说如果如果他不是喜欢公馆的话，
说话人 1: 为什么每次跟小徐出去玩都会给我搞点吃的会？
说话人 1: 哎，
说话人 1: 我跑跑到学楼楼去，
说话人 1: 明知道他最懒懒，
说话人 1: 还还给我送教学楼去后后我就说嗯我就说就是说就是说就该这样，
说话人 1: 我说什么之类的吧。
说话人 2: 嗯还有吗？
说话人 0: 这个吵架事情还有还有吗？
说话人 1: 还有还有当时说为什么不让为什么不让小七和小韩最喜欢你？
说话人 1: 我说不行，
说话人 1: 就是要你最喜欢你，
说话人 1: 你就说只是只喜欢不玩，
说话人 1: 就是别问别的还有什么嗯不有这些啥的。
说话人 1: 别人在这哭，
说话人 1: 你就在这这笑吧，
说话人 1: 虽然别人更没哭。
说话人 0: 你回想起来这个事情，
说话人 0: 你你会觉得小宝当时在想什么？
说话人 0: 除了跟你玩之外，
说话人 0: 除了这个事情本身是跟你闹着玩之外，
说话人 2: 哎哎嗯，
说话人 0: 还会想到什么？
说话人 0: 我觉得很萌啊，
说话人 1: 那小那小我总是总是什么什么，
说话人 1: 总是总是这样，
说话人 2: 哪样总是非常总是总是总是嗯老是没没跟他一起出去。
说话人 2: 凌晨嗯你听出了，
说话人 1: 但是本来就本来就是我老是在这个教室里面摸阳光，
说话人 1: 我有时候出去游戏还觉得有些焦虑。
说话人 0: 嗯，
说话人 1: 他他心他他也不跟我一块去自由，
说话人 1: 就是经常经常不跟我一起，
说话人 1: 也不是没有一起，
说话人 1: 是他也老是不要学习，
说话人 1: 也不是说他一定要学。
说话人 1: 就是嗯哎呀我们俩坐一块老想讲话，
说话人 1: 老想玩，
说话人 1: 我老想跟他讲话了。
说话人 0: 他不学习的话，
说话人 0: 他去的每一次自习室可能都是为了你去，
说话人 0: basically 不是说总是不去，
说话人 0: 是去的时候是为了你，
说话人 1: 我知道的。
说话人 2: 嗯，
说话人 0: 他并没有表达，
说话人 0: 他不希望你去自习室，
说话人 0: 他其实是想跟你一起玩，
说话人 0: 他他想表达是这个，
说话人 0: 他要直接想他要直。
说话人 1: 阿姨本来就是有时候我觉得可我觉得小徐更贴心一点，
说话人 1: 我觉得很嫉妒我自己，
说话人 1: 总是总是比如说有点忘记是什么事情，
说话人 1: 反正觉得小徐都是很贴心。
说话人 1: 但是我就从从来都不基本上我不那个我我忘了当时在说什么事情，
说话人 1: 他在说就说小学好，
说话人 1: 哎，
说话人 1: 我知道好的美术美术，
说话人 1: 美美术别坏了。
说话人 1: 嗯，
说话人 1: 不用说，
说话人 1: 小学就是坏了，
说话人 0: 小溪对你也好，
说话人 1: 是不是他对我小宝更好一点？
说话人 0: 然嗯他们没人在比这个没人在比这个盲报。
说话人 1: 言说，
说话人 1: 我跟他们俩老在一起玩，
说话人 0: 没人敢比这花心心。
说话人 1: 他和小孩玩了，
说话人 1: 他们俩老一块打游戏。
说话人 0: 对小徐可能基调上就是很容易跟大家好，
说话人 0: 没有什么太强的分别心。
说话人 1: 看来这根本就不公平。
说话人 1: 嗯，
说话人 0: 什么不公平。
说话人 1: 就是本来本来就是嗯有一次那个时候我跟他一起玩的时候，
说话人 1: 他就说你要跟我玩，
说话人 0: 最好不是啊，
说话人 0: 你是说他后面又说他跟小徐最好，
说话人 0: 这个这说这话不公平是吗？
说话人 1: 本来就不公平啊，
说话人 0: 可是这个话是个掩饰啊，
说话人 2: 宝宝讨厌，
说话人 0: 你你你知道我说的是什么意思吗？
说话人 0: 这个话是个掩饰，
说话人 2: 不知道不知道就是小宝想说的那个事情是他后面说的事情，
说话人 0: 不是一开始说的啊，
